XP_052069431.1	Mph_scaf_44449-0.0	63.265	490	162	5	119	594	1	486	0.0	632
XP_052069431.1	Mph_scaf_62139-0.4	62.288	472	153	5	17	484	17	467	0.0	586
XP_052069431.1	Mph_scaf_22824-0.28	53.557	506	170	8	10	509	14	460	1.00e-166	483
XP_052069431.1	Mph_scaf_10402-0.0	33.579	271	172	2	74	337	6	275	4.31e-57	194
XP_052069431.1	Mph_scaf_49026-0.0	33.224	304	188	6	48	350	20	309	9.10e-51	179
XP_052069431.1	Mph_scaf_53665-0.10	27.066	351	218	9	41	380	21	344	2.44e-34	133
XP_052069431.1	Mph_scaf_4486-0.8	25.797	345	236	6	41	383	21	347	3.31e-34	133
XP_052069431.1	Mph_scaf_71213-1.7	25.234	321	193	6	59	338	47	361	6.52e-29	119
XP_052069431.1	Mph_scaf_17083-1.2	25.419	358	207	12	1	339	1	317	3.62e-28	117
XP_052069431.1	Mph_scaf_26020-0.3	27.393	303	186	9	57	348	52	331	2.77e-26	110
XP_052069431.1	Mph_scaf_48619-0.2	23.355	304	205	8	46	339	62	347	3.84e-26	111
XP_052069431.1	Mph_scaf_55187-0.5	32.243	214	127	6	57	269	1	197	4.45e-26	105
XP_052069431.1	Mph_scaf_34783-0.2	23.684	304	204	8	46	339	38	323	1.41e-24	106
XP_052069431.1	Mph_scaf_38098-0.0	24.854	342	227	9	45	376	35	356	4.16e-24	104
XP_052069431.1	Mph_scaf_15123-0.0	23.102	303	207	8	46	339	35	320	7.01e-24	103
XP_052069431.1	Mph_scaf_28629-0.13	25.073	343	234	11	35	361	69	404	1.29e-23	104
XP_052069431.1	Mph_scaf_53665-0.6	25.941	239	165	4	41	277	23	251	1.71e-22	97.1
XP_052069431.1	Mph_scaf_10606-0.5	23.270	318	194	8	52	353	36	319	5.46e-22	97.4
XP_052069431.1	Mph_scaf_72290-0.0	25.072	347	210	10	59	381	72	392	6.39e-22	98.2
XP_052069431.1	Mph_scaf_18104-0.2	23.151	311	213	8	47	345	27	323	7.95e-22	97.8
